Net:-2.73885263549, Trade:3.93280703431, Cost:6.67165966981, Avg:-0.0219108210839 Std:0.0449554528785 Trades/Day:51.072, et:2, leb:2, bs:2, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:3, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:4, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:5, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:6, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:7, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:8, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:2, leb:2, bs:9, ueb:7,
Net:-7.62171932827, Trade:3.71065688926, Cost:11.3323762175, Avg:-0.0609737546261 Std:0.0594981410816 Trades/Day:155.416, et:0, leb:2, bs:1, ueb:8,
Net:-4.60569118548, Trade:4.64619556838, Cost:9.25188675386, Avg:-0.0368455294839 Std:0.0493093581969 Trades/Day:109.776, et:0, leb:2, bs:2, ueb:8,
Net:-3.56887913712, Trade:4.28975067355, Cost:7.85862981067, Avg:-0.028551033097 Std:0.0449918414008 Trades/Day:78.592, et:0, leb:2, bs:3, ueb:8,
Net:-2.88493213251, Trade:4.22357705885, Cost:7.10850919137, Avg:-0.0230794570601 Std:0.0441468250141 Trades/Day:61.536, et:0, leb:2, bs:4, ueb:8,
Net:-2.77031882282, Trade:4.05780779099, Cost:6.82812661381, Avg:-0.0221625505826 Std:0.0447029888757 Trades/Day:54.488, et:0, leb:2, bs:5, ueb:8,
Net:-2.75417540727, Trade:3.98502523284, Cost:6.73920064011, Avg:-0.0220334032582 Std:0.0443043418405 Trades/Day:52.352, et:0, leb:2, bs:6, ueb:8,
Net:-2.73609056515, Trade:3.97743735538, Cost:6.71352792052, Avg:-0.0218887245212 Std:0.0443911549668 Trades/Day:51.632, et:0, leb:2, bs:7, ueb:8,
Net:-2.72037833057, Trade:3.97989798374, Cost:6.70027631431, Avg:-0.0217630266445 Std:0.0444535601481 Trades/Day:51.336, et:0, leb:2, bs:8, ueb:8,
Net:-2.73111188533, Trade:3.967366229, Cost:6.69847811433, Avg:-0.0218488950827 Std:0.0444855465164 Trades/Day:51.264, et:0, leb:2, bs:9, ueb:8,
Net:-5.87137727251, Trade:4.30013013629, Cost:10.1715074088, Avg:-0.0469710181801 Std:0.0545756433802 Trades/Day:129.464, et:1, leb:2, bs:1, ueb:8,
Net:-3.05372795167, Trade:4.38270953149, Cost:7.43643748316, Avg:-0.0244298236134 Std:0.0473535352564 Trades/Day:68.072, et:1, leb:2, bs:2, ueb:8,
Net:-2.73160136974, Trade:4.07290760473, Cost:6.80450897447, Avg:-0.0218528109579 Std:0.044697458422 Trades/Day:53.68, et:1, leb:2, bs:3, ueb:8,
Net:-2.71735003582, Trade:3.98942184334, Cost:6.70677187916, Avg:-0.0217388002866 Std:0.0446218142982 Trades/Day:51.512, et:1, leb:2, bs:4, ueb:8,
Net:-2.72536765959, Trade:3.97292148273, Cost:6.69828914231, Avg:-0.0218029412767 Std:0.044463821375 Trades/Day:51.28, et:1, leb:2, bs:5, ueb:8,
Net:-2.72980752784, Trade:3.9684816126, Cost:6.69828914044, Avg:-0.0218384602227 Std:0.0444987720385 Trades/Day:51.248, et:1, leb:2, bs:6, ueb:8,
Net:-2.73119191809, Trade:3.96709722168, Cost:6.69828913978, Avg:-0.0218495353447 Std:0.0444984892858 Trades/Day:51.248, et:1, leb:2, bs:7, ueb:8,
Net:-2.72979991881, Trade:3.96710193669, Cost:6.6969018555, Avg:-0.0218383993505 Std:0.0444987745371 Trades/Day:51.232, et:1, leb:2, bs:8, ueb:8,
